timestamp,start_time,end_time,start_matrix,end_matrix,execution_time_sec,start_stats_timestamp,end_stats_timestamp,start_stats_actual_timestamp,end_stats_actual_timestamp,container_count,end_container_count,optimized_cpu_percent,end_optimized_cpu_percent,optimized_memory_mb,end_optimized_memory_mb,optimized_memory_percent,end_optimized_memory_percent,optimized_memory_limit_mb,end_optimized_memory_limit_mb,optimized_pids,end_optimized_pids,optimized_status,end_optimized_status,rossim_cpu_percent,end_rossim_cpu_percent,rossim_memory_mb,end_rossim_memory_mb,rossim_memory_percent,end_rossim_memory_percent,rossim_memory_limit_mb,end_rossim_memory_limit_mb,rossim_pids,end_rossim_pids,rossim_status,end_rossim_status,tmsserver_cpu_percent,end_tmsserver_cpu_percent,tmsserver_memory_mb,end_tmsserver_memory_mb,tmsserver_memory_percent,end_tmsserver_memory_percent,tmsserver_memory_limit_mb,end_tmsserver_memory_limit_mb,tmsserver_pids,end_tmsserver_pids,tmsserver_status,end_tmsserver_status,rosadapter_moveit_cpu_percent,end_rosadapter_moveit_cpu_percent,rosadapter_moveit_memory_mb,end_rosadapter_moveit_memory_mb,rosadapter_moveit_memory_percent,end_rosadapter_moveit_memory_percent,rosadapter_moveit_memory_limit_mb,end_rosadapter_moveit_memory_limit_mb,rosadapter_moveit_pids,end_rosadapter_moveit_pids,rosadapter_moveit_status,end_rosadapter_moveit_status,rosadapter_phosphobot_cpu_percent,end_rosadapter_phosphobot_cpu_percent,rosadapter_phosphobot_memory_mb,end_rosadapter_phosphobot_memory_mb,rosadapter_phosphobot_memory_percent,end_rosadapter_phosphobot_memory_percent,rosadapter_phosphobot_memory_limit_mb,end_rosadapter_phosphobot_memory_limit_mb,rosadapter_phosphobot_pids,end_rosadapter_phosphobot_pids,rosadapter_phosphobot_status,end_rosadapter_phosphobot_status,stats_monitor_cpu_percent,end_stats_monitor_cpu_percent,stats_monitor_memory_mb,end_stats_monitor_memory_mb,stats_monitor_memory_percent,end_stats_monitor_memory_percent,stats_monitor_memory_limit_mb,end_stats_monitor_memory_limit_mb,stats_monitor_pids,end_stats_monitor_pids,stats_monitor_status,end_stats_monitor_status,jupyter_notebooks_jupyter_1_cpu_percent,end_jupyter_notebooks_jupyter_1_cpu_percent,jupyter_notebooks_jupyter_1_memory_mb,end_jupyter_notebooks_jupyter_1_memory_mb,jupyter_notebooks_jupyter_1_memory_percent,end_jupyter_notebooks_jupyter_1_memory_percent,jupyter_notebooks_jupyter_1_memory_limit_mb,end_jupyter_notebooks_jupyter_1_memory_limit_mb,jupyter_notebooks_jupyter_1_pids,end_jupyter_notebooks_jupyter_1_pids,jupyter_notebooks_jupyter_1_status,end_jupyter_notebooks_jupyter_1_status,odysseus_odysseus_1_cpu_percent,end_odysseus_odysseus_1_cpu_percent,odysseus_odysseus_1_memory_mb,end_odysseus_odysseus_1_memory_mb,odysseus_odysseus_1_memory_percent,end_odysseus_odysseus_1_memory_percent,odysseus_odysseus_1_memory_limit_mb,end_odysseus_odysseus_1_memory_limit_mb,odysseus_odysseus_1_pids,end_odysseus_odysseus_1_pids,odysseus_odysseus_1_status,end_odysseus_odysseus_1_status,odysseus_searxng_1_cpu_percent,end_odysseus_searxng_1_cpu_percent,odysseus_searxng_1_memory_mb,end_odysseus_searxng_1_memory_mb,odysseus_searxng_1_memory_percent,end_odysseus_searxng_1_memory_percent,odysseus_searxng_1_memory_limit_mb,end_odysseus_searxng_1_memory_limit_mb,odysseus_searxng_1_pids,end_odysseus_searxng_1_pids,odysseus_searxng_1_status,end_odysseus_searxng_1_status,odysseus_chromadb_1_cpu_percent,end_odysseus_chromadb_1_cpu_percent,odysseus_chromadb_1_memory_mb,end_odysseus_chromadb_1_memory_mb,odysseus_chromadb_1_memory_percent,end_odysseus_chromadb_1_memory_percent,odysseus_chromadb_1_memory_limit_mb,end_odysseus_chromadb_1_memory_limit_mb,odysseus_chromadb_1_pids,end_odysseus_chromadb_1_pids,odysseus_chromadb_1_status,end_odysseus_chromadb_1_status,odysseus_ntfy_1_cpu_percent,end_odysseus_ntfy_1_cpu_percent,odysseus_ntfy_1_memory_mb,end_odysseus_ntfy_1_memory_mb,odysseus_ntfy_1_memory_percent,end_odysseus_ntfy_1_memory_percent,odysseus_ntfy_1_memory_limit_mb,end_odysseus_ntfy_1_memory_limit_mb,odysseus_ntfy_1_pids,end_odysseus_ntfy_1_pids,odysseus_ntfy_1_status,end_odysseus_ntfy_1_status
2026-05-10T14:28:23.660163,2026-05-10T14:28:23.660163,2026-05-13T10:46:39.447542,-1.0000000000;0.0000000000;-0.0000000000;0.0000000000;0.0000000000;1.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;-1.0000000000;110.0000000000;0.0000000000;0.0000000000;0.0000000000;1.0000000000,1.0000000000;0.0000000000;0.0000000000;5.5163459778;0.0000000000;-0.9313033881;-0.3642444225;24.4820480347;0.0000000000;0.3642444225;-0.9313033881;100.3746702576;0.0000000000;0.0000000000;0.0000000000;1.0000000000,245895.787,2026-05-10T14:28:23.813487,2026-05-13T10:46:39.557906,2026-05-10T14:28:23.321428,2026-05-13T10:46:36.780094,6,7,147.47,195.09,1981.61,2211.35,12.87,14.37,15392.21,15392.21,163,166,running,running,1.02,266.06,514.08,771.25,12.55,18.83,4096.0,4096.0,188,215,running,running,103.35,104.86,322.57,758.93,2.1,4.93,15392.21,15392.21,15,15,running,running,0.11,4.43,96.79,97.94,2.36,2.39,4096.0,4096.0,18,19,running,running,0.13,0.07,93.69,82.87,4.57,4.05,2048.0,2048.0,18,18,running,running,0.07,0.12,32.82,34.59,0.21,0.22,15392.21,15392.21,3,3,running,running,,0.0,,259.8,,1.69,,15392.21,,3,,running,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-10T14:28:40.591191,2026-05-10T14:28:40.591191,2026-05-13T05:30:20.911214,-1.0000000000;0.0000000000;-0.0000000000;-0.0000000000;0.0000000000;1.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;-1.0000000000;108.6992955707;0.0000000000;0.0000000000;0.0000000000;1.0000000000,-1.0000000000;0.0000000000;-0.0000000000;-0.0000000000;0.0000000000;1.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;-1.0000000000;100.8980089623;0.0000000000;0.0000000000;0.0000000000;1.0000000000,226900.320,2026-05-10T14:28:40.957992,2026-05-13T05:30:21.477220,2026-05-10T14:28:35.423544,2026-05-13T05:30:20.153783,6,6,138.07,145.12,2111.68,2271.94,13.72,14.76,15392.21,15392.21,172,176,running,running,0.93,186.83,515.16,683.54,12.58,16.69,4096.0,4096.0,188,206,running,running,433.01,92.05,835.51,821.04,5.43,5.33,15392.21,15392.21,15,15,running,running,0.13,6.14,96.2,93.86,2.35,2.29,4096.0,4096.0,18,19,running,running,0.13,0.05,94.48,89.04,4.61,4.35,2048.0,2048.0,18,18,running,running,0.23,0.52,32.66,56.96,0.21,0.37,15392.21,15392.21,3,3,running,running,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-10T14:28:41.164470,2026-05-10T14:28:41.164470,2026-05-10T14:28:42.221740,-1.0000000000;0.0000000000;-0.0000000000;-0.0000000000;0.0000000000;1.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;-1.0000000000;93.0908424186;0.0000000000;0.0000000000;0.0000000000;1.0000000000,-1.0000000000;0.0000000000;-0.0000000000;-0.0000000000;0.0000000000;1.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;-1.0000000000;93.0908424186;0.0000000000;0.0000000000;0.0000000000;1.0000000000,1.057,2026-05-10T14:28:41.642823,2026-05-10T14:28:42.328855,2026-05-10T14:28:35.423544,2026-05-10T14:28:35.423544,6,6,138.07,138.07,2111.68,2111.68,13.72,13.72,15392.21,15392.21,172,172,running,running,0.93,0.93,515.16,515.16,12.58,12.58,4096.0,4096.0,188,188,running,running,433.01,433.01,835.51,835.51,5.43,5.43,15392.21,15392.21,15,15,running,running,0.13,0.13,96.2,96.2,2.35,2.35,4096.0,4096.0,18,18,running,running,0.13,0.13,94.48,94.48,4.61,4.61,2048.0,2048.0,18,18,running,running,0.23,0.23,32.66,32.66,0.21,0.21,15392.21,15392.21,3,3,running,running,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-10T14:30:31.741212,2026-05-10T14:30:31.741212,2026-05-13T03:28:56.964702,-1.0000000000;0.0000000000;-0.0000000000;0.0000000000;0.0000000000;1.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;-1.0000000000;110.0000000000;0.0000000000;0.0000000000;0.0000000000;1.0000000000,-1.0000000000;0.0000000000;-0.0000000000;-0.0000000000;0.0000000000;1.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;-1.0000000000;103.6284431541;0.0000000000;0.0000000000;0.0000000000;1.0000000000,219505.223,2026-05-10T14:30:32.014668,2026-05-13T03:28:57.569492,2026-05-10T14:30:28.006885,2026-05-13T03:28:55.383649,6,6,7.8,178.13,1053.04,2499.88,6.84,16.24,15392.21,15392.21,164,164,running,running,0.76,226.69,513.98,802.75,12.55,19.6,4096.0,4096.0,188,203,running,running,101.82,299.43,805.72,1117.01,5.23,7.26,15392.21,15392.21,15,15,running,running,0.16,6.36,96.27,83.07,2.35,2.03,4096.0,4096.0,18,18,running,running,0.04,0.05,94.75,91.46,4.63,4.47,2048.0,2048.0,18,18,running,running,0.08,0.24,32.41,48.01,0.21,0.31,15392.21,15392.21,3,3,running,running,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-10T14:31:33.516321,2026-05-10T14:31:33.516321,2026-05-13T03:28:22.965816,-1.0000000000;0.0000000000;-0.0000000000;-0.0000000000;0.0000000000;1.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;-1.0000000000;108.6993549843;0.0000000000;0.0000000000;0.0000000000;1.0000000000,-1.0000000000;0.0000000000;-0.0000000000;-0.0000000000;0.0000000000;1.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;-1.0000000000;96.6274974647;0.0000000000;0.0000000000;0.0000000000;1.0000000000,219409.449,2026-05-10T14:31:33.737868,2026-05-13T03:28:23.512461,2026-05-10T14:31:26.334155,2026-05-13T03:28:18.812036,6,6,5.54,188.86,2108.0,2500.37,13.7,16.24,15392.21,15392.21,173,164,running,running,0.69,354.18,513.98,801.34,12.55,19.56,4096.0,4096.0,188,206,running,running,102.24,223.34,805.72,1120.55,5.23,7.28,15392.21,15392.21,15,15,running,running,0.12,9.86,96.27,83.46,2.35,2.04,4096.0,4096.0,18,18,running,running,0.12,0.07,94.76,91.79,4.63,4.48,2048.0,2048.0,18,18,running,running,0.08,0.5,32.41,48.55,0.21,0.32,15392.21,15392.21,3,3,running,running,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-10T14:31:56.026694,2026-05-10T14:31:56.026694,2026-05-13T03:28:07.617685,-1.0000000000;0.0000000000;-0.0000000000;-0.0000000000;0.0000000000;1.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;-1.0000000000;87.8824166293;0.0000000000;0.0000000000;0.0000000000;1.0000000000,-1.0000000000;0.0000000000;-0.0000000000;0.0000000000;0.0000000000;1.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;-1.0000000000;110.0000000000;0.0000000000;0.0000000000;0.0000000000;1.0000000000,219371.591,2026-05-10T14:31:56.364313,2026-05-13T03:28:08.007201,2026-05-10T14:31:50.457824,2026-05-13T03:28:07.396277,6,6,13.84,104.33,2109.28,2380.52,13.7,15.47,15392.21,15392.21,173,176,running,running,12.29,183.43,513.8,802.93,12.54,19.6,4096.0,4096.0,185,205,running,running,100.52,313.0,805.72,1034.39,5.23,6.72,15392.21,15392.21,15,15,running,running,0.11,6.44,96.27,83.6,2.35,2.04,4096.0,4096.0,18,18,running,running,0.12,0.11,94.76,91.88,4.63,4.49,2048.0,2048.0,18,18,running,running,0.07,0.13,32.41,49.25,0.21,0.32,15392.21,15392.21,3,3,running,running,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-10T14:32:42.528802,2026-05-10T14:32:42.528802,2026-05-13T02:02:26.183089,-1.0000000000;0.0000000000;-0.0000000000;-0.0000000000;0.0000000000;1.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;-1.0000000000;89.1831056546;0.0000000000;0.0000000000;0.0000000000;1.0000000000,-1.0000000000;0.0000000000;-0.0000000000;0.0000000000;0.0000000000;1.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;-1.0000000000;161.0686407596;0.0000000000;0.0000000000;0.0000000000;1.0000000000,214183.654,2026-05-10T14:32:42.887886,2026-05-13T02:02:26.707161,2026-05-10T14:32:36.719559,2026-05-13T02:02:17.637074,6,6,76.78,249.01,2123.16,3079.29,13.79,20.01,15392.21,15392.21,161,164,running,running,1.13,223.94,513.35,810.95,12.53,19.8,4096.0,4096.0,184,204,running,running,100.9,104.57,805.72,736.02,5.23,4.78,15392.21,15392.21,15,15,running,running,0.16,4.69,96.27,159.54,2.35,3.89,4096.0,4096.0,18,18,running,running,0.05,0.04,94.76,96.3,4.63,4.7,2048.0,2048.0,18,18,running,running,0.07,0.1,32.41,65.52,0.21,0.43,15392.21,15392.21,3,3,running,running,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-10T14:33:01.219538,2026-05-10T14:33:01.219538,2026-05-13T02:01:46.897840,-1.0000000000;0.0000000000;-0.0000000000;-0.0000000000;0.0000000000;1.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;-1.0000000000;96.9872398063;0.0000000000;0.0000000000;0.0000000000;1.0000000000,-1.0000000000;0.0000000000;-0.0000000000;0.0000000000;0.0000000000;1.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;-1.0000000000;143.8461937242;0.0000000000;0.0000000000;0.0000000000;1.0000000000,214125.678,2026-05-10T14:33:01.384108,2026-05-13T02:01:46.951705,2026-05-10T14:32:59.842401,2026-05-13T02:01:42.308381,6,6,2.89,246.54,2144.02,3075.91,13.93,19.98,15392.21,15392.21,161,163,running,running,0.93,233.34,513.6,811.09,12.54,19.8,4096.0,4096.0,184,204,running,running,101.92,105.77,805.72,740.84,5.23,4.81,15392.21,15392.21,15,15,running,running,0.13,5.53,96.27,159.54,2.35,3.89,4096.0,4096.0,18,18,running,running,0.09,0.05,94.76,96.29,4.63,4.7,2048.0,2048.0,18,18,running,running,0.11,0.16,32.41,65.49,0.21,0.43,15392.21,15392.21,3,3,running,running,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-11T02:00:58.879702,2026-05-11T02:00:58.879702,2026-05-12T14:32:59.059647,-1.0000000000;0.0000000000;-0.0000000000;0.0000000000;0.0000000000;1.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;-1.0000000000;110.0000000000;0.0000000000;0.0000000000;0.0000000000;1.0000000000,-1.0000000000;0.0000000000;-0.0000000000;0.0000000000;0.0000000000;1.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;-1.0000000000;110.0000000000;0.0000000000;0.0000000000;0.0000000000;1.0000000000,131520.180,2026-05-11T02:00:59.205843,2026-05-12T14:32:59.349464,2026-05-11T02:00:57.335247,2026-05-12T14:32:51.713147,6,6,107.33,32.23,2051.33,1693.5,13.33,11.0,15392.21,15392.21,163,171,running,running,0.0,83.94,0.0,374.15,0.0,9.13,0.0,4096.0,0,148,restarting,running,100.64,1.14,334.79,281.05,2.18,1.83,15392.21,15392.21,15,15,running,running,0.08,0.45,93.14,96.03,2.27,2.34,4096.0,4096.0,18,18,running,running,0.05,0.03,93.47,103.86,4.56,5.07,2048.0,2048.0,18,18,running,running,0.11,0.2,48.07,74.11,0.31,0.48,15392.21,15392.21,3,3,running,running,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-12T14:32:56.589115,2026-05-12T14:32:56.589115,2026-05-12T14:32:58.293699,-1.0000000000;0.0000000000;-0.0000000000;0.0000000000;0.0000000000;1.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;-1.0000000000;110.0000000000;0.0000000000;0.0000000000;0.0000000000;1.0000000000,-1.0000000000;0.0000000000;-0.0000000000;0.0000000000;0.0000000000;1.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;-1.0000000000;110.0000000000;0.0000000000;0.0000000000;0.0000000000;1.0000000000,1.705,2026-05-12T14:32:56.860761,2026-05-12T14:32:58.666991,2026-05-12T14:32:51.713147,2026-05-12T14:32:51.713147,6,6,32.23,32.23,1693.5,1693.5,11.0,11.0,15392.21,15392.21,171,171,running,running,83.94,83.94,374.15,374.15,9.13,9.13,4096.0,4096.0,148,148,running,running,1.14,1.14,281.05,281.05,1.83,1.83,15392.21,15392.21,15,15,running,running,0.45,0.45,96.03,96.03,2.34,2.34,4096.0,4096.0,18,18,running,running,0.03,0.03,103.86,103.86,5.07,5.07,2048.0,2048.0,18,18,running,running,0.2,0.2,74.11,74.11,0.48,0.48,15392.21,15392.21,3,3,running,running,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-13T01:59:26.804481,2026-05-13T01:59:26.804481,2026-05-13T01:59:29.047303,-1.0000000000;0.0000000000;-0.0000000000;0.0000000000;0.0000000000;1.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;-1.0000000000;110.0000000000;0.0000000000;0.0000000000;0.0000000000;1.0000000000,-1.0000000000;0.0000000000;-0.0000000000;0.0000000000;0.0000000000;1.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;-1.0000000000;110.0000000000;0.0000000000;0.0000000000;0.0000000000;1.0000000000,2.243,2026-05-13T01:59:27.294017,2026-05-13T01:59:29.630524,2026-05-13T01:59:20.119038,2026-05-13T01:59:20.119038,6,6,37.53,37.53,1677.28,1677.28,10.9,10.9,15392.21,15392.21,159,159,running,running,202.74,202.74,774.73,774.73,18.91,18.91,4096.0,4096.0,204,204,running,running,1.52,1.52,285.92,285.92,1.86,1.86,15392.21,15392.21,15,15,running,running,4.89,4.89,159.03,159.03,3.88,3.88,4096.0,4096.0,18,18,running,running,0.06,0.06,96.22,96.22,4.7,4.7,2048.0,2048.0,18,18,running,running,0.08,0.08,65.41,65.41,0.42,0.42,15392.21,15392.21,3,3,running,running,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-13T02:00:18.265246,2026-05-13T02:00:18.265246,2026-05-13T02:00:21.717400,-1.0000000000;0.0000000000;-0.0000000000;-0.0000000000;0.0000000000;1.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;-1.0000000000;104.3586792346;0.0000000000;0.0000000000;0.0000000000;1.0000000000,-1.0000000000;0.0000000000;-0.0000000000;-0.0000000000;0.0000000000;1.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;-1.0000000000;100.1277370219;0.0000000000;0.0000000000;0.0000000000;1.0000000000,3.452,2026-05-13T02:00:18.406224,2026-05-13T02:00:21.797482,2026-05-13T02:00:06.471726,2026-05-13T02:00:18.590976,6,6,195.96,279.66,2827.91,3021.92,18.37,19.63,15392.21,15392.21,163,163,running,running,242.96,232.42,793.97,793.48,19.38,19.37,4096.0,4096.0,204,204,running,running,106.9,105.9,725.75,725.75,4.72,4.72,15392.21,15392.21,15,15,running,running,6.14,5.59,159.46,159.46,3.89,3.89,4096.0,4096.0,18,18,running,running,0.13,0.07,96.29,96.29,4.7,4.7,2048.0,2048.0,18,18,running,running,0.1,0.61,65.45,65.46,0.43,0.43,15392.21,15392.21,3,3,running,running,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-13T02:00:19.188182,2026-05-13T02:00:19.188182,2026-05-13T02:00:20.402511,-1.0000000000;0.0000000000;-0.0000000000;-0.0000000000;0.0000000000;1.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;-1.0000000000;100.1277370219;0.0000000000;0.0000000000;0.0000000000;1.0000000000,-1.0000000000;0.0000000000;-0.0000000000;-0.0000000000;0.0000000000;1.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;-1.0000000000;100.1277370219;0.0000000000;0.0000000000;0.0000000000;1.0000000000,1.214,2026-05-13T02:00:19.704752,2026-05-13T02:00:21.062991,2026-05-13T02:00:18.590976,2026-05-13T02:00:18.590976,6,6,279.66,279.66,3021.92,3021.92,19.63,19.63,15392.21,15392.21,163,163,running,running,232.42,232.42,793.48,793.48,19.37,19.37,4096.0,4096.0,204,204,running,running,105.9,105.9,725.75,725.75,4.72,4.72,15392.21,15392.21,15,15,running,running,5.59,5.59,159.46,159.46,3.89,3.89,4096.0,4096.0,18,18,running,running,0.07,0.07,96.29,96.29,4.7,4.7,2048.0,2048.0,18,18,running,running,0.61,0.61,65.46,65.46,0.43,0.43,15392.21,15392.21,3,3,running,running,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-13T02:01:44.417379,2026-05-13T02:01:44.417379,2026-05-13T02:01:46.116929,-1.0000000000;0.0000000000;-0.0000000000;0.0000000000;0.0000000000;1.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;-1.0000000000;143.8461937242;0.0000000000;0.0000000000;0.0000000000;1.0000000000,-1.0000000000;0.0000000000;-0.0000000000;0.0000000000;0.0000000000;1.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;-1.0000000000;143.8461937242;0.0000000000;0.0000000000;0.0000000000;1.0000000000,1.700,2026-05-13T02:01:44.962026,2026-05-13T02:01:46.253002,2026-05-13T02:01:42.308381,2026-05-13T02:01:42.308381,6,6,246.54,246.54,3075.91,3075.91,19.98,19.98,15392.21,15392.21,163,163,running,running,233.34,233.34,811.09,811.09,19.8,19.8,4096.0,4096.0,204,204,running,running,105.77,105.77,740.84,740.84,4.81,4.81,15392.21,15392.21,15,15,running,running,5.53,5.53,159.54,159.54,3.89,3.89,4096.0,4096.0,18,18,running,running,0.05,0.05,96.29,96.29,4.7,4.7,2048.0,2048.0,18,18,running,running,0.16,0.16,65.49,65.49,0.43,0.43,15392.21,15392.21,3,3,running,running,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-13T02:02:22.896812,2026-05-13T02:02:22.896812,2026-05-13T02:02:25.167143,-1.0000000000;0.0000000000;-0.0000000000;0.0000000000;0.0000000000;1.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;-1.0000000000;161.0686407596;0.0000000000;0.0000000000;0.0000000000;1.0000000000,-1.0000000000;0.0000000000;-0.0000000000;0.0000000000;0.0000000000;1.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;-1.0000000000;161.0686407596;0.0000000000;0.0000000000;0.0000000000;1.0000000000,2.270,2026-05-13T02:02:23.018601,2026-05-13T02:02:25.370194,2026-05-13T02:02:17.637074,2026-05-13T02:02:17.637074,6,6,249.01,249.01,3079.29,3079.29,20.01,20.01,15392.21,15392.21,164,164,running,running,223.94,223.94,810.95,810.95,19.8,19.8,4096.0,4096.0,204,204,running,running,104.57,104.57,736.02,736.02,4.78,4.78,15392.21,15392.21,15,15,running,running,4.69,4.69,159.54,159.54,3.89,3.89,4096.0,4096.0,18,18,running,running,0.04,0.04,96.3,96.3,4.7,4.7,2048.0,2048.0,18,18,running,running,0.1,0.1,65.52,65.52,0.43,0.43,15392.21,15392.21,3,3,running,running,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-13T03:27:32.326982,2026-05-13T03:27:32.326982,2026-05-13T03:28:04.238755,-1.0000000000;0.0000000000;-0.0000000000;0.0000000000;0.0000000000;1.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;-1.0000000000;110.0000000000;0.0000000000;0.0000000000;0.0000000000;1.0000000000,-1.0000000000;0.0000000000;-0.0000000000;0.0000000000;0.0000000000;1.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;-1.0000000000;110.0000000000;0.0000000000;0.0000000000;0.0000000000;1.0000000000,31.912,2026-05-13T03:27:32.813071,2026-05-13T03:28:04.586874,2026-05-13T03:27:26.538626,2026-05-13T03:27:52.830003,6,6,68.47,140.46,2349.47,2367.92,15.26,15.38,15392.21,15392.21,167,176,running,running,254.71,306.94,790.61,804.59,19.3,19.64,4096.0,4096.0,205,205,running,running,2.34,388.44,434.59,765.25,2.82,4.97,15392.21,15392.21,15,15,running,running,7.84,6.2,84.46,84.09,2.06,2.05,4096.0,4096.0,18,18,running,running,0.15,0.1,92.24,92.11,4.5,4.5,2048.0,2048.0,18,18,running,running,0.16,5.71,50.86,50.21,0.33,0.33,15392.21,15392.21,3,3,running,running,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-13T03:28:09.455172,2026-05-13T03:28:09.455172,2026-05-13T03:28:18.879695,-1.0000000000;0.0000000000;-0.0000000000;-0.0000000000;0.0000000000;1.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;-1.0000000000;96.6274974647;0.0000000000;0.0000000000;0.0000000000;1.0000000000,-1.0000000000;0.0000000000;-0.0000000000;-0.0000000000;0.0000000000;1.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;-1.0000000000;96.6274974647;0.0000000000;0.0000000000;0.0000000000;1.0000000000,9.425,2026-05-13T03:28:09.845392,2026-05-13T03:28:19.574384,2026-05-13T03:28:07.396277,2026-05-13T03:28:18.812036,6,6,104.33,188.86,2380.52,2500.37,15.47,16.24,15392.21,15392.21,176,164,running,running,183.43,354.18,802.93,801.34,19.6,19.56,4096.0,4096.0,205,206,running,running,313.0,223.34,1034.39,1120.55,6.72,7.28,15392.21,15392.21,15,15,running,running,6.44,9.86,83.6,83.46,2.04,2.04,4096.0,4096.0,18,18,running,running,0.11,0.07,91.88,91.79,4.49,4.48,2048.0,2048.0,18,18,running,running,0.13,0.5,49.25,48.55,0.32,0.32,15392.21,15392.21,3,3,running,running,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
